ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
hsa05216;Thyroid cancer;3/37;37/8390;5,53326440048060e-04;2,97056686965736e-03;1,38507533307938e-03;1499/3845/7157;3
hsa04110;Cell cycle;5/37;157/8390;5,78472112213253e-04;2,97056686965736e-03;1,38507533307938e-03;472/545/1111/11200/7157;5
hsa05160;Hepatitis C;5/37;157/8390;5,78472112213253e-04;2,97056686965736e-03;1,38507533307938e-03;207/1499/3845/5290/7157;5
hsa04211;Longevity regulating pathway;4/37;89/8390;5,98100712011549e-04;2,97056686965736e-03;1,38507533307938e-03;207/3845/5290/7157;4
hsa05235;PD-L1 expression and PD-1 checkpoint pathway in cancer;4/37;89/8390;5,98100712011549e-04;2,97056686965736e-03;1,38507533307938e-03;207/3845/5290/5728;4
hsa05222;Small cell lung cancer;4/37;92/8390;6,78033448266990e-04;3,25893496102521e-03;1,51953166674436e-03;207/5290/5728/7157;4
hsa01522;Endocrine resistance;4/37;98/8390;8,60190382571820e-04;4,00526146885003e-03;1,86751859374145e-03;207/3845/5290/7157;4
hsa03450;Non-homologous end-joining;2/37;13/8390;1,43164852269935e-03;6,46410999643042e-03;3,01399688989338e-03;4361/10111;2
hsa05167;Kaposi sarcoma-associated herpesvirus infection;5/37;194/8390;1,49950702287388e-03;6,57136901200614e-03;3,06400815819431e-03;207/1499/3845/5290/7157;5
hsa04722;Neurotrophin signaling pathway;4/37;119/8390;1,77025848276699e-03;7,53624325520802e-03;3,51389653722169e-03;207/3845/5290/7157;4
hsa05205;Proteoglycans in cancer;5/37;205/8390;1,91295831033311e-03;7,91752189554539e-03;3,69167393222180e-03;207/1499/3845/5290/7157;5
hsa05206;MicroRNAs in cancer;6/37;310/8390;2,14035294713984e-03;8,49217900513026e-03;3,95961719772941e-03;472/672/3845/5290/5728/7157;6
hsa04370;VEGF signaling pathway;3/37;59/8390;2,16579061875805e-03;8,49217900513026e-03;3,95961719772941e-03;207/3845/5290;3
hsa04213;Longevity regulating pathway - multiple species;3/37;62/8390;2,49685248316682e-03;9,53925692286811e-03;4,44783438296924e-03;207/3845/5290;3
hsa04929;GnRH secretion;3/37;64/8390;2,73404373029242e-03;1,01843128953393e-02;4,74860226840262e-03;207/3845/5290;3
hsa05163;Human cytomegalovirus infection;5/37;225/8390;2,87133387312969e-03;1,04348474901543e-02;4,86541811621463e-03;207/1499/3845/5290/7157;5
hsa05221;Acute myeloid leukemia;3/37;67/8390;3,11520222816887e-03;1,08040865053687e-02;5,03758183931005e-03;207/3845/5290;3
hsa05418;Fluid shear stress and atherosclerosis;4/37;139/8390;3,11795785054266e-03;1,08040865053687e-02;5,03758183931005e-03;207/1499/5290/7157;4
hsa04664;Fc epsilon RI signaling pathway;3/37;68/8390;3,24914499247760e-03;1,08694733822273e-02;5,06806953886967e-03;207/3845/5290;3
hsa04140;Autophagy - animal;4/37;141/8390;3,28272686040422e-03;1,08694733822273e-02;5,06806953886967e-03;207/3845/5290/5728;4
hsa05211;Renal cell carcinoma;3/37;69/8390;3,38658281497104e-03;1,09478988479909e-02;5,10463669351750e-03;207/3845/5290;3
hsa04550;Signaling pathways regulating pluripotency of stem cells;4/37;143/8390;3,45336406614479e-03;1,09478988479909e-02;5,10463669351750e-03;207/1499/3845/5290;4
hsa04917;Prolactin signaling pathway;3/37;70/8390;3,52754491807507e-03;1,09500873498580e-02;5,10565711826655e-03;207/3845/5290;3
hsa04151;PI3K-Akt signaling pathway;6/37;354/8390;4,14730230901656e-03;1,26111845723157e-02;5,88017083555517e-03;207/672/3845/5290/5728/7157;6
hsa03430;Mismatch repair;2/37;23/8390;4,51662118737050e-03;1,34595311383641e-02;6,27572628139901e-03;4436/2956;2
hsa04150;mTOR signaling pathway;4/37;156/8390;4,71245981517900e-03;1,37677747541504e-02;6,41944990303022e-03;207/3845/5290/5728;4
hsa05161;Hepatitis B;4/37;162/8390;5,38612058387425e-03;1,54333070576397e-02;7,19603154930568e-03;207/3845/5290/7157;4
hsa04662;B cell receptor signaling pathway;3/37;84/8390;5,88615280299994e-03;1,65478635405093e-02;7,71571171793438e-03;207/3845/5290;3
hsa04012;ErbB signaling pathway;3/37;85/8390;6,08312424745942e-03;1,67849169050269e-02;7,82624172187761e-03;207/3845/5290;3
hsa05231;Choline metabolism in cancer;3/37;98/8390;9,00753127579305e-03;2,44022210926030e-02;1,13779342431070e-02;207/3845/5290;3
hsa04933;AGE-RAGE signaling pathway in diabetic complications;3/37;100/8390;9,51881895567825e-03;2,53268575785011e-02;1,18090611104279e-02;207/3845/5290;3
hsa04914;Progesterone-mediated oocyte maturation;3/37;102/8390;1,00468307996719e-02;2,62627682307214e-02;1,22454447419824e-02;207/3845/5290;3
hsa04625;C-type lectin receptor signaling pathway;3/37;104/8390;1,05916766223882e-02;2,67484714700990e-02;1,24719118122680e-02;207/3845/5290;3
hsa04660;T cell receptor signaling pathway;3/37;104/8390;1,05916766223882e-02;2,67484714700990e-02;1,24719118122680e-02;207/3845/5290;3
hsa04960;Aldosterone-regulated sodium reabsorption;2/37;37/8390;1,14380886699533e-02;2,78384564612668e-02;1,29801351214667e-02;3845/5290;2
hsa04931;Insulin resistance;3/37;108/8390;1,17322772495563e-02;2,78384564612668e-02;1,29801351214667e-02;207/5290/5728;3
hsa04510;Focal adhesion;4/37;203/8390;1,17706225306027e-02;2,78384564612668e-02;1,29801351214667e-02;207/1499/5290/5728;4
hsa05415;Diabetic cardiomyopathy;4/37;203/8390;1,17706225306027e-02;2,78384564612668e-02;1,29801351214667e-02;207/142/5290/5728;4
hsa05203;Viral carcinogenesis;4/37;204/8390;1,19685898364490e-02;2,78643732129828e-02;1,29922192303558e-02;1111/3845/5290/7157;4
hsa04015;Rap1 signaling pathway;4/37;210/8390;1,32017252199992e-02;2,99228728670183e-02;1,39520283237245e-02;207/1499/3845/5290;4
hsa04725;Cholinergic synapse;3/37;113/8390;1,32544269075383e-02;2,99228728670183e-02;1,39520283237245e-02;207/3845/5290;3
hsa05219;Bladder cancer;2/37;41/8390;1,39283879388523e-02;3,09750716849103e-02;1,44426332123213e-02;3845/7157;2
hsa05417;Lipid and atherosclerosis;4/37;215/8390;1,42895944256667e-02;3,13110230797697e-02;1,45992760386068e-02;207/3845/5290/7157;4
hsa04935;Growth hormone synthesis, secretion and action;3/37;120/8390;1,55675663081858e-02;3,36169185495606e-02;1,56744374727729e-02;207/3845/5290;3
hsa03410;Base excision repair;2/37;44/8390;1,59362973001131e-02;3,38852532610882e-02;1,57995529158024e-02;4595/142;2
hsa05208;Chemical carcinogenesis - reactive oxygen species;4/37;223/8390;1,61466643056192e-02;3,38852532610882e-02;1,57995529158024e-02;207/3845/5290/5728;4
hsa04973;Carbohydrate digestion and absorption;2/37;47/8390;1,80606858734122e-02;3,73755860435891e-02;1,74269775971521e-02;207/5290;2
hsa04926;Relaxin signaling pathway;3/37;129/8390;1,88576185719809e-02;3,84902077702077e-02;1,79466881867446e-02;207/3845/5290;3
hsa04910;Insulin signaling pathway;3/37;137/8390;2,20833463973422e-02;4,43280887512870e-02;2,06686955675376e-02;207/3845/5290;3
hsa04915;Estrogen signaling pathway;3/37;138/8390;2,25065820488939e-02;4,43280887512870e-02;2,06686955675376e-02;207/3845/5290;3
hsa05131;Shigellosis;4/37;247/8390;2,26103003026699e-02;4,43280887512870e-02;2,06686955675376e-02;207/472/5290/7157;4
hsa05162;Measles;3/37;139/8390;2,29342722885634e-02;4,43793061168306e-02;2,06925765009595e-02;207/5290/7157;3
hsa04923;Regulation of lipolysis in adipocytes;2/37;58/8390;2,67948887664396e-02;5,08938868120778e-02;2,37301061787152e-02;207/5290;2
hsa04072;Phospholipase D signaling pathway;3/37;148/8390;2,69840071017057e-02;5,08938868120778e-02;2,37301061787152e-02;207/3845/5290;3
hsa05217;Basal cell carcinoma;2/37;63/8390;3,12267527949385e-02;5,81598270805730e-02;2,71179695324466e-02;1499/7157;2
hsa04137;Mitophagy - animal;2/37;72/8390;3,98738900440831e-02;7,33482668712145e-02;3,41998277181219e-02;3845/7157;2
hsa00562;Inositol phosphate metabolism;2/37;73/8390;4,08852148076398e-02;7,42914269065649e-02;3,46395914929939e-02;5290/5728;2
hsa05100;Bacterial invasion of epithelial cells;2/37;77/8390;4,50268253828900e-02;8,08312889403688e-02;3,76889090078724e-02;1499/5290;2
hsa04062;Chemokine signaling pathway;3/37;192/8390;5,19162995278923e-02;9,20896265435233e-02;4,29382928426177e-02;207/3845/5290;3
hsa05169;Epstein-Barr virus infection;3/37;202/8390;5,87355119239140e-02;1,02959897372508e-01;4,80067342040659e-02;207/5290/7157;3
hsa05207;Chemical carcinogenesis - receptor activation;3/37;212/8390;6,59612789217059e-02;1,14281750689932e-01;5,32857332782447e-02;207/3845/5290;3
hsa04070;Phosphatidylinositol signaling system;2/37;97/8390;6,78536605144702e-02;1,14888584280182e-01;5,35686793535291e-02;5290/5728;2
hsa04666;Fc gamma R-mediated phagocytosis;2/37;97/8390;6,78536605144702e-02;1,14888584280182e-01;5,35686793535291e-02;207/5290;2
hsa04916;Melanogenesis;2/37;101/8390;7,28016293788572e-02;1,21881379521907e-01;5,68291843761630e-02;1499/3845;2
hsa05142;Chagas disease;2/37;102/8390;7,40567253504410e-02;1,22605023080174e-01;5,71665950073579e-02;207/5290;2
hsa04064;NF-kappa B signaling pathway;2/37;104/8390;7,65880564514166e-02;1,24039352296316e-01;5,78353744369965e-02;472/142;2
hsa04620;Toll-like receptor signaling pathway;2/37;104/8390;7,65880564514166e-02;1,24039352296316e-01;5,78353744369965e-02;207/5290;2
hsa04810;Regulation of actin cytoskeleton;3/37;229/8390;7,91430861790587e-02;1,26799138071825e-01;5,91221696414021e-02;207/3845/5290;3
hsa04066;HIF-1 signaling pathway;2/37;109/8390;8,30358717516231e-02;1,31620690329701e-01;6,13702971512556e-02;207/5290;2
hsa04014;Ras signaling pathway;3/37;236/8390;8,48866661844208e-02;1,33138034331355e-01;6,20777835808507e-02;207/3845/5290;3
hsa05010;Alzheimer disease;4/37;384/8390;8,71590863138551e-02;1,35278165216296e-01;6,30756545692372e-02;207/1499/3845/5290;4
hsa04668;TNF signaling pathway;2/37;114/8390;8,96463667799672e-02;1,36299067859338e-01;6,35516671050251e-02;207/5290;2
hsa04670;Leukocyte transendothelial migration;2/37;114/8390;8,96463667799672e-02;1,36299067859338e-01;6,35516671050251e-02;1499/5290;2
hsa05132;Salmonella infection;3/37;249/8390;9,60186138416017e-02;1,44512863256552e-01;6,73814833976152e-02;207/1499/5290;3
hsa04152;AMPK signaling pathway;2/37;121/8390;9,91558872789648e-02;1,47742272045658e-01;6,88872480043334e-02;207/5290;2
hsa04611;Platelet activation;2/37;124/8390;1,03316780038851e-01;1,52417824017711e-01;7,10673004957184e-02;207/5290;2
hsa04380;Osteoclast differentiation;2/37;128/8390;1,08939585902656e-01;1,59137238230351e-01;7,42003371473200e-02;207/5290;2
hsa04650;Natural killer cell mediated cytotoxicity;2/37;132/8390;1,14643919572739e-01;1,65844116663477e-01;7,73275287869267e-02;3845/5290;2
hsa05135;Yersinia infection;2/37;137/8390;1,21882313033238e-01;1,74619852326467e-01;8,14193589088435e-02;207/5290;2
hsa04371;Apelin signaling pathway;2/37;139/8390;1,24809552207573e-01;1,77110697894556e-01;8,25807563478678e-02;207/3845;2
hsa04120;Ubiquitin mediated proteolysis;2/37;142/8390;1,29232944189747e-01;1,79959894245536e-01;8,39092406937856e-02;672/55120;2
hsa04936;Alcoholic liver disease;2/37;142/8390;1,29232944189747e-01;1,79959894245536e-01;8,39092406937856e-02;207/1499;2
hsa05017;Spinocerebellar ataxia;2/37;143/8390;1,30715828590386e-01;1,80339430184885e-01;8,40862055259796e-02;207/5290;2
hsa04010;MAPK signaling pathway;3/37;302/8390;1,46982805180058e-01;2,00921449282831e-01;9,36829081785014e-02;207/3845/7157;3
hsa04932;Non-alcoholic fatty liver disease;2/37;155/8390;1,48813136459886e-01;2,01574157568391e-01;9,39872440799282e-02;207/5290;2
hsa04630;JAK-STAT signaling pathway;2/37;166/8390;1,65833658699966e-01;2,20975527404643e-01;1,03033449725938e-01;207/5290;2
hsa04216;Ferroptosis;1/37;41/8390;1,66102409861208e-01;2,20975527404643e-01;1,03033449725938e-01;7157;1
hsa04310;Wnt signaling pathway;2/37;171/8390;1,73685786575108e-01;2,27010370172728e-01;1,05847293757683e-01;1499/7157;2
hsa05164;Influenza A;2/37;171/8390;1,73685786575108e-01;2,27010370172728e-01;1,05847293757683e-01;207/5290;2
hsa04930;Type II diabetes mellitus;1/37;46/8390;1,84421497404713e-01;2,38946114028716e-01;1,11412529324587e-01;5290;1
hsa04360;Axon guidance;2/37;182/8390;1,91173430482560e-01;2,45558975361220e-01;1,14495883955072e-01;3845/5290;2
hsa04613;Neutrophil extracellular trap formation;2/37;190/8390;2,04046007677583e-01;2,59853462768887e-01;1,21160922237701e-01;207/5290;2
hsa05202;Transcriptional misregulation in cancer;2/37;193/8390;2,08901117254418e-01;2,63781919244986e-01;1,22992629248810e-01;472/7157;2
hsa04730;Long-term depression;1/37;60/8390;2,33656529694578e-01;2,92561537180605e-01;1,36411596283433e-01;3845;1
hsa03420;Nucleotide excision repair;1/37;63/8390;2,43824233423351e-01;3,02748423167328e-01;1,41161398297730e-01;2072;1
hsa04720;Long-term potentiation;1/37;67/8390;2,57177206188924e-01;3,16689286959915e-01;1,47661553792684e-01;3845;1
hsa04024;cAMP signaling pathway;2/37;225/8390;2,61300145506987e-01;3,19128866233943e-01;1,48799047484566e-01;207/5290;2
hsa04920;Adipocytokine signaling pathway;1/37;69/8390;2,63767377070836e-01;3,19523082793126e-01;1,48982857395594e-01;207;1
hsa05412;Arrhythmogenic right ventricular cardiomyopathy;1/37;77/8390;2,89563817517004e-01;3,47943619435755e-01;1,62234396911055e-01;1499;1
hsa04540;Gap junction;1/37;88/8390;3,23602597089952e-01;3,85734295731222e-01;1,79854917119468e-01;3845;1
hsa04520;Adherens junction;1/37;93/8390;3,38545107591726e-01;3,97190716780844e-01;1,85196660597214e-01;1499;1
hsa04912;GnRH signaling pathway;1/37;93/8390;3,38545107591726e-01;3,97190716780844e-01;1,85196660597214e-01;3845;1
hsa04750;Inflammatory mediator regulation of TRP channels;1/37;98/8390;3,53166247722313e-01;4,11107585239255e-01;1,91685627875597e-01;5290;1
hsa05146;Amoebiasis;1/37;102/8390;3,64636296157645e-01;4,21169055251854e-01;1,96376952643040e-01;5290;1
hsa04922;Glucagon signaling pathway;1/37;107/8390;3,78695821571881e-01;4,34043672417002e-01;2,02379953228697e-01;207;1
hsa05145;Toxoplasmosis;1/37;112/8390;3,92452460439787e-01;4,46377225996399e-01;2,08130674078152e-01;207;1
hsa04726;Serotonergic synapse;1/37;115/8390;4,00563704263990e-01;4,52151454055565e-01;2,10823002244205e-01;3845;1
hsa04728;Dopaminergic synapse;1/37;132/8390;4,44575179820468e-01;4,98057908219923e-01;2,32227636471317e-01;207;1
hsa04261;Adrenergic signaling in cardiomyocytes;1/37;154/8390;4,96887110082075e-01;5,46859943182438e-01;2,54982382550625e-01;207;1
hsa04921;Oxytocin signaling pathway;1/37;154/8390;4,96887110082075e-01;5,46859943182438e-01;2,54982382550625e-01;3845;1
hsa04934;Cushing syndrome;1/37;155/8390;4,99147330690011e-01;5,46859943182438e-01;2,54982382550625e-01;1499;1
hsa04390;Hippo signaling pathway;1/37;157/8390;5,03638171668172e-01;5,47752464077063e-01;2,55398534998843e-01;1499;1
hsa04217;Necroptosis;1/37;159/8390;5,08089824794641e-01;5,48589738365229e-01;2,55788927814236e-01;142;1
hsa04022;cGMP-PKG signaling pathway;1/37;167/8390;5,25511168620250e-01;5,63317727513793e-01;2,62656093365668e-01;207;1
hsa05152;Tuberculosis;1/37;180/8390;5,52548254979341e-01;5,88069214228013e-01;2,74196878410801e-01;207;1
hsa04621;NOD-like receptor signaling pathway;1/37;186/8390;5,64515538898700e-01;5,94404621003896e-01;2,77150865321492e-01;7158;1
hsa05034;Alcoholism;1/37;187/8390;5,66479571694988e-01;5,94404621003896e-01;2,77150865321492e-01;3845;1
hsa05022;Pathways of neurodegeneration - multiple diseases;2/37;476/8390;6,29033001850319e-01;6,55425994934948e-01;3,05603077822017e-01;1499/3845;2
hsa04714;Thermogenesis;1/37;232/8390;6,46474213021233e-01;6,64307984414922e-01;3,09744450521970e-01;3845;1
hsa05171;Coronavirus disease - COVID-19;1/37;232/8390;6,46474213021233e-01;6,64307984414922e-01;3,09744450521970e-01;5290;1
hsa05012;Parkinson disease;1/37;266/8390;6,97195602028721e-01;7,11521539056708e-01;3,31758541700761e-01;7157;1
hsa05020;Prion disease;1/37;273/8390;7,06721829636173e-01;7,16337092624420e-01;3,34003872223326e-01;5290;1
hsa05016;Huntington disease;1/37;306/8390;7,47842485007913e-01;7,52895474771480e-01;3,51049815153074e-01;7157;1
hsa05014;Amyotrophic lateral sclerosis;1/37;364/8390;8,06933002445467e-01;8,06933002445467e-01;3,76245695241263e-01;7157;1
